Neuronas,Inicialización,Normalización,Learning rate,Batch size,Accuracy,Error final,Tiempo (s)
2,xavier,none,0.5,32,0.5384615384615384,0.23076923076923078,2.6
2,xavier,none,0.5,64,0.5384615384615384,0.23076923076923078,1.65
32,xavier,none,0.01,8,0.5384615384615384,0.23076923076923078,7.98
32,xavier,none,0.01,16,0.5384615384615384,0.23076923076923078,5.07
32,xavier,none,0.01,32,0.5384615384615384,0.23076923076923078,3.5
32,xavier,none,0.01,64,0.5384615384615384,0.23076923076923078,2.46
32,xavier,none,0.1,8,0.5384615384615384,0.23076923076923078,8.26
32,xavier,none,0.1,32,0.5384615384615384,0.23076923076923078,3.57
32,xavier,none,0.1,64,0.5384615384615384,0.23076923076923078,2.62
32,normal,none,0.5,8,0.5384615384615384,0.23076923076923078,8.73
32,normal,none,0.5,16,0.5384615384615384,0.23076923076923078,5.66
32,normal,none,0.5,32,0.5384615384615384,0.23076923076923078,4.11
32,normal,none,0.5,64,0.5384615384615384,0.23076923076923078,2.88
32,normal,none,0.01,8,0.5384615384615384,0.23076923076923078,11.41
32,normal,none,0.01,16,0.5384615384615384,0.23076923076923078,5.35
32,normal,none,0.01,32,0.5384615384615384,0.23076923076923078,3.82
32,normal,none,0.01,64,0.5384615384615384,0.23076923076923078,2.75
32,normal,none,0.1,8,0.5384615384615384,0.23076923076923078,8.75
32,normal,none,0.1,64,0.5384615384615384,0.23076923076923078,2.92
4,xavier,none,0.5,8,0.5384615384615384,0.23076923076923078,8.55
4,xavier,none,0.5,16,0.5384615384615384,0.23076923076923078,6.07
4,xavier,none,0.5,32,0.5384615384615384,0.23076923076923078,3.72
4,xavier,none,0.5,64,0.5384615384615384,0.23076923076923078,2.4
4,xavier,none,0.01,8,0.5384615384615384,0.23076923076923078,6.86
4,xavier,none,0.01,16,0.5384615384615384,0.23076923076923078,4.06
4,xavier,none,0.01,32,0.5384615384615384,0.23076923076923078,2.61
4,xavier,none,0.01,64,0.5384615384615384,0.23076923076923078,1.68
4,xavier,none,0.1,8,0.5384615384615384,0.23076923076923078,6.71
4,xavier,none,0.1,16,0.5384615384615384,0.23076923076923078,4.21
4,xavier,none,0.1,32,0.5384615384615384,0.23076923076923078,2.68
4,xavier,none,0.1,64,0.5384615384615384,0.23076923076923078,1.68
16,xavier,none,0.5,16,0.5384615384615384,0.23076923076923078,5.88
16,xavier,none,0.5,32,0.5384615384615384,0.23076923076923078,3.81
16,xavier,none,0.5,64,0.5384615384615384,0.23076923076923078,2.94
16,xavier,none,0.01,8,0.5384615384615384,0.23076923076923078,11.42
16,xavier,none,0.01,16,0.5384615384615384,0.23076923076923078,7.07
16,xavier,none,0.01,32,0.5384615384615384,0.23076923076923078,4.11
16,xavier,none,0.01,64,0.5384615384615384,0.23076923076923078,3.13
16,xavier,none,0.1,8,0.5384615384615384,0.23076923076923078,10.92
16,xavier,none,0.1,16,0.5384615384615384,0.23076923076923078,6.59
16,xavier,none,0.1,32,0.5384615384615384,0.23076923076923078,4.13
8,xavier,none,0.01,8,0.5384615384615384,0.23076923076923078,9.53
8,xavier,none,0.01,16,0.5384615384615384,0.23076923076923078,5.46
8,xavier,none,0.01,32,0.5384615384615384,0.23076923076923078,3.69
8,xavier,none,0.01,64,0.5384615384615384,0.23076923076923078,2.55
8,xavier,none,0.1,8,0.5384615384615384,0.23076923076923078,9.57
8,xavier,none,0.1,16,0.5384615384615384,0.23076923076923078,5.87
8,xavier,none,0.1,32,0.5384615384615384,0.23076923076923078,3.86
8,xavier,none,0.1,64,0.5384615384615384,0.23076923076923078,2.5
8,normal,none,0.5,8,0.5384615384615384,0.23076923076923078,9.36
8,normal,none,0.5,16,0.5384615384615384,0.23076923076923078,5.79
8,normal,none,0.5,32,0.5384615384615384,0.23076923076923078,3.71
8,normal,none,0.01,8,0.5384615384615384,0.23076923076923078,9.48
8,normal,none,0.01,16,0.5384615384615384,0.23076923076923078,5.53
8,normal,none,0.01,32,0.5384615384615384,0.23076923076923078,3.61
8,normal,none,0.01,64,0.5384615384615384,0.23076923076923078,2.57
8,normal,none,0.1,8,0.5384615384615384,0.23076923076923078,8.99
8,normal,none,0.1,16,0.5384615384615384,0.23076923076923078,5.57
8,normal,none,0.1,32,0.5384615384615384,0.23076923076923078,3.73
8,normal,none,0.1,64,0.5384615384615384,0.23076923076923078,2.57
16,normal,none,0.5,16,0.5384615384615384,0.23076923076923078,6.32
16,normal,none,0.5,64,0.5384615384615384,0.23076923076923078,3.09
16,normal,none,0.01,8,0.5384615384615384,0.23076923076923078,11.37
16,normal,none,0.01,16,0.5384615384615384,0.23076923076923078,6.83
16,normal,none,0.01,32,0.5384615384615384,0.23076923076923078,4.24
16,normal,none,0.01,64,0.5384615384615384,0.23076923076923078,2.91
16,normal,none,0.1,8,0.5384615384615384,0.23076923076923078,10.59
