Neuronas,Inicialización,Normalización,Learning rate,Batch size,Pesado_termino,Representacion_terminos,ProcesamientosTXT,Epocas_ejecutadas,Error final,Tiempo (s),Accuracy(macro),F1-score(macro),Presicion(macro),Recall(macro)
64,Normal,none,0.01,64,TF-IDF,"(1, 2)",only_normalizar_texto,100,0.0895789914821664,149.74276900291443,0.64,0.6230587525757652,0.6297322253000923,0.6223132287847764
128,Normal,none,0.01,64,TF,"(2, 2)",normalizar_txt_sin_StopWords_mas_stemming,100,0.1073342068736979,263.2290060520172,0.621,0.6047105156389662,0.6094165594165595,0.6042420229614462
128,Normal,none,0.01,64,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,100,0.1109523870080689,206.11298179626465,0.622,0.6008869179600886,0.6099151989562948,0.601235945412411
256,Normal,none,0.01,64,TF,"(2, 2)",only_normalizar_texto,100,0.0910974228217577,733.2244355678558,0.603,0.5869707477494067,0.5904596290234588,0.5867450576488427
1024,Normal,none,0.01,64,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,100,0.1041865888029005,1981.920991897583,0.601,0.5808995219733645,0.5871114725997446,0.5814195388910006
256,Normal,none,0.01,32,TF-IDF,"(2, 2)",only_normalizar_texto,100,0.0989929898591214,1036.605577468872,0.59,0.573965775943406,0.5768336881105036,0.5739094539197535
1024,Normal,none,0.01,32,TF,"(2, 2)",normalizar_txt_sin_StopWords,100,0.115470507313349,3617.482162952423,0.61,0.5697093000163289,0.5970589287265406,0.5776369083381357
64,Normal,none,0.01,16,TF,"(2, 2)",only_normalizar_texto,100,0.1096867803562532,415.3738498687744,0.569,0.5424234992605521,0.5501316643820792,0.5454406120872519
256,Xavier,none,0.1,32,TF,"(1, 1)",only_normalizar_texto,11,0.2101786636276062,127.44883108139038,0.573,0.3642720915448188,0.2865,0.5
256,Xavier,none,0.5,16,TF,"(1, 2)",normalizar_txt_sin_StopWords_mas_stemming,18,0.2101650384133915,356.59395456314087,0.573,0.3642720915448188,0.2865,0.5
512,Xavier,none,0.5,16,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords_mas_stemming,11,0.2101798401420959,312.26873660087585,0.573,0.3642720915448188,0.2865,0.5
512,Normal,none,0.5,32,TF-IDF,"(1, 1)",only_normalizar_texto,13,0.2101832381650399,225.41207933425903,0.573,0.3642720915448188,0.2865,0.5
