Neuronas,Inicialización,Normalización,Learning rate,Batch size,Accuracy,Error final,Tiempo (s)
128,xavier,z-score,0.5,8,0.75,0.125,0.28
128,xavier,z-score,0.5,16,0.75,0.125,0.33
128,xavier,z-score,0.5,32,0.75,0.125,0.28
128,xavier,z-score,0.5,64,0.75,0.125,0.36
128,normal,z-score,0.1,8,0.75,0.125,0.24
128,normal,z-score,0.1,16,0.75,0.125,0.23
128,normal,z-score,0.1,32,0.75,0.125,0.24
128,normal,z-score,0.1,64,0.75,0.125,0.24
128,xavier,none,0.01,64,0.75,0.125,0.25
128,xavier,none,0.01,32,0.75,0.125,0.26
128,xavier,none,0.01,16,0.75,0.125,0.25
128,xavier,none,0.01,8,0.75,0.125,0.25
128,normal,z-score,0.5,64,0.75,0.125,0.23
128,normal,z-score,0.5,32,0.75,0.125,0.24
128,normal,z-score,0.5,16,0.75,0.125,0.24
128,normal,z-score,0.5,8,0.75,0.125,0.28
2,xavier,none,0.1,8,0.75,0.125,0.23
2,xavier,none,0.1,16,0.75,0.125,0.23
2,xavier,none,0.1,32,0.75,0.125,0.22
2,xavier,none,0.1,64,0.75,0.125,0.22
2,normal,z-score,0.1,64,0.75,0.125,0.21
2,normal,z-score,0.1,32,0.75,0.125,0.23
2,normal,z-score,0.1,16,0.75,0.125,0.22
2,normal,z-score,0.1,8,0.75,0.125,0.2
2,normal,none,0.1,8,0.75,0.125,0.21
2,normal,none,0.1,16,0.75,0.125,0.22
2,normal,none,0.1,32,0.75,0.125,0.21
2,normal,none,0.1,64,0.75,0.125,0.21
2,normal,none,0.01,8,0.5,0.25,0.24
2,normal,none,0.01,16,0.5,0.25,0.22
2,normal,none,0.01,32,0.5,0.25,0.22
2,normal,none,0.01,64,0.5,0.25,0.21
2,normal,z-score,0.01,8,0.5,0.25,0.2
2,normal,z-score,0.01,16,0.5,0.25,0.21
2,normal,z-score,0.01,32,0.5,0.25,0.21
2,normal,z-score,0.01,64,0.5,0.25,0.2
2,xavier,none,0.01,64,0.5,0.25,0.21
2,xavier,none,0.01,32,0.5,0.25,0.21
2,xavier,none,0.01,16,0.5,0.25,0.21
2,xavier,none,0.01,8,0.5,0.25,0.21
16,xavier,none,0.01,8,0.5,0.25,0.22
16,xavier,none,0.01,16,0.5,0.25,0.21
16,xavier,none,0.01,32,0.5,0.25,0.21
16,xavier,none,0.01,64,0.5,0.25,0.26
8,xavier,z-score,0.01,8,0.5,0.25,0.46
8,xavier,z-score,0.01,16,0.5,0.25,0.38
8,xavier,z-score,0.01,32,0.5,0.25,0.4
8,xavier,z-score,0.01,64,0.5,0.25,0.5
8,xavier,z-score,0.5,8,0.5,0.25,0.45
